id,timestamp,user_id,session_id,ad_id,campaign_id,ad_format,device_type,browser,operating_system,country,click_position_x,click_position_y,time_on_page,page_url,referrer_url,cost_per_click,is_conversion,conversion_value
11,1749134852.0,f28372b7-4960-465d-8d19-4121be74d7a4,2e9ac34c-4ba3-4bd1-9554-9dd41b6e7b7c,ad_5999,summer_sale_2025,interstitial,desktop,chrome,Windows,Solomon Islands,843,1058,263,http://elliott.net/,https://www.robinson-burke.com/,1.99,True,158.9
12,1751393042.0,a394cf1d-0ca7-4b02-89d9-aafd2bebad00,9de17360-926a-4a01-8ce4-b003de8b20ce,ad_4455,streaming_service,interstitial,tablet,firefox,Linux,French Southern Territories,94,269,92,http://www.middleton.org/,http://www.bridges-hall.com/,4.39,False,0.0
13,1750935233.0,d2a702f6-6221-4791-81c8-6fe694f3e3be,1ab22b0b-4b84-4dc5-87ca-273c67194561,ad_7162,streaming_service,interstitial,tablet,opera,iOS,Portugal,1367,807,82,http://www.johnson-fuentes.com/,http://baker.com/,2.87,False,0.0
14,1750658796.0,9044dfbe-cf96-435d-b3a1-0f3c93aab8c5,cae32b96-f463-4d05-b12a-15cdce7a3df6,ad_9736,holiday_deals,interstitial,desktop,edge,iOS,Taiwan,1411,322,145,https://bennett.info/,,2.1,True,416.39
15,1749611644.0,ec5b89fc-5e45-4d88-a68a-4c680dad985d,5048563d-ab43-4ce2-a23a-6b85a09f4adb,ad_4334,fitness_challenge,interstitial,mobile,edge,Android,Croatia,1864,436,206,http://www.harper.info/,,4.16,False,0.0
16,1751624404.0,fff4339a-027f-4b7c-9fbb-401ab5f9171f,f1de23c9-b91a-43fb-b9f2-4a5134fe606c,ad_2838,tech_gadgets_promo,video,desktop,safari,Android,Norfolk Island,338,6,11,http://www.nelson-gonzalez.com/,https://montgomery.net/,1.82,False,0.0
17,1749488336.0,26549b0d-42d0-4972-8e14-609f3ec9f92c,c1429911-9585-4f0d-851c-9b72891f2d7a,ad_2556,food_delivery,native,desktop,opera,macOS,India,1221,745,49,https://www.mann.com/,https://castillo.com/,4.2,False,0.0
18,1750191782.0,dce62594-62e1-47f8-810b-824675ad9c7b,ce63bf87-e0eb-4072-a39f-8c005032b598,ad_2814,summer_sale_2025,popup,mobile,firefox,macOS,South Georgia and the South Sandwich Islands,1744,305,54,https://www.smith-jimenez.com/,https://www.ponce.net/,4.51,False,0.0
19,1750804489.0,12056898-ede6-4d0c-928e-c8cb80ddc23f,1ad512d6-e672-4f57-84db-42c83d03e2f9,ad_4685,streaming_service,native,mobile,safari,Android,Finland,63,78,28,https://www.scott.com/,https://www.henderson.biz/,3.0,True,330.88
20,1750231831.0,9f4d0b87-84dd-4efe-9b87-a671bba44a9f,7f53779f-7c32-400e-a50d-3d05145d342d,ad_5615,travel_deals,native,mobile,opera,Linux,Algeria,1621,862,153,https://www.turner-bird.info/,,1.98,False,0.0
21,1751512598.0,4939dfa2-c807-428b-8c39-4f80750633e7,e163d584-0ee5-4354-85b3-303f539ea418,ad_8070,food_delivery,banner,tablet,safari,Android,French Guiana,232,631,74,https://www.howard.net/,https://www.henry.com/,1.46,False,0.0
22,1750447100.0,c49a5166-99f4-45ef-8c5b-aa04955ecb2e,acc83464-5b32-45ab-8291-f9794ddabd72,ad_3385,fashion_week_special,popup,mobile,opera,iOS,Russian Federation,280,1042,45,http://gillespie.org/,http://www.lynch.info/,3.68,False,0.0
23,1749650117.0,6fa8b442-6253-4a54-bcc4-94239415bd12,32307745-30de-4be9-8cc4-b9e2ab7cfaa8,ad_8688,fitness_challenge,popup,mobile,firefox,Android,Martinique,754,936,171,https://cardenas.net/,https://higgins.com/,0.54,False,0.0
24,1750771041.0,47c15677-0273-4274-b0b0-348563af1bf1,c336ef95-4f69-4859-a8a2-879a78df9a90,ad_1145,food_delivery,interstitial,tablet,edge,Android,Tuvalu,386,854,113,http://velez.org/,https://massey-jones.com/,4.31,False,0.0
25,1750972371.0,610d4c4c-fe08-445c-a151-20bb82128b35,5bb1c4c1-f35d-47ed-a35c-e7b89e42029f,ad_1514,holiday_deals,popup,mobile,edge,iOS,United States of America,796,634,166,https://barron.com/,,1.43,True,53.43
26,1750178677.0,01832e51-fb2a-4782-a525-2667f482d0a6,05f7f702-4493-4493-b009-67ce197e0b7f,ad_5297,fitness_challenge,interstitial,desktop,opera,Linux,Pitcairn Islands,298,844,183,https://www.thompson-holder.net/,,1.37,False,0.0
27,1749111669.0,6f7d4982-4231-4a42-ae09-2b04a2ac3bca,8ab30601-eab6-47cb-bba1-85668c7d2218,ad_4633,back_to_school,banner,desktop,chrome,Android,Norfolk Island,1411,673,179,https://www.grant.com/,https://banks.info/,0.95,False,0.0
28,1749353269.0,0a6cf664-0aa6-42e7-989c-ec6325282ac3,f92ecfb2-9d15-4089-8b2a-c21a58dd801e,ad_9168,back_to_school,video,desktop,chrome,iOS,Cameroon,573,649,26,http://roberts.com/,https://smith.com/,0.33,False,0.0
29,1750012050.0,f44c3f4c-acf3-4cb8-84b0-261fdd9d673a,87fa027c-6c46-4504-8e10-45987df96f44,ad_5359,travel_deals,video,desktop,opera,Android,Israel,1396,443,243,http://washington.com/,,4.67,False,0.0
30,1749952607.0,53fb66e7-9ea9-4429-9ee9-9cb612a00a33,7705c055-2f0c-4ea6-a0c7-53eb9d69091c,ad_2092,tech_gadgets_promo,interstitial,mobile,safari,Linux,Cocos (Keeling) Islands,1569,203,117,http://smith.com/,,1.94,False,0.0
31,1749453094.0,75e78e8a-fc50-41ce-abbe-4d6fea46224c,5ea751e8-76f7-42f1-81cc-fa19c99bf56a,ad_3497,holiday_deals,interstitial,mobile,edge,Linux,Seychelles,1591,32,213,https://smith-rowe.com/,,1.48,False,0.0
32,1751233886.0,6713f77b-ddcc-4dca-bb89-ea775a301860,89fd96ec-7b93-4597-b23d-0d07c87b1f3c,ad_4061,food_delivery,interstitial,tablet,chrome,iOS,Argentina,789,998,54,http://yu.com/,,3.29,True,304.49
33,1750859076.0,50e8eeb7-95ee-4ae0-bdef-c5c2e405259d,6c988111-d2bc-4079-9db4-05392e33cf5e,ad_2529,tech_gadgets_promo,banner,desktop,firefox,Linux,Libyan Arab Jamahiriya,1070,645,105,http://www.rodriguez.info/,,3.68,False,0.0
34,1749895009.0,cc0f2473-9350-449d-9ac3-428485c6d80a,18fce165-239e-4022-971e-2d937ae48a59,ad_3260,back_to_school,banner,tablet,opera,macOS,Chad,537,979,101,http://www.bray.com/,https://www.white.com/,4.23,False,0.0
35,1750370779.0,fbcc2db9-ccb9-42c1-ae68-0ba76fb2d625,82c6764b-aded-496a-9dfa-e27259ac3830,ad_5529,summer_sale_2025,native,desktop,opera,macOS,Ecuador,421,428,62,https://smith-jones.net/,,1.82,False,0.0
36,1750354271.0,cff3c40c-a0ea-4bef-8f13-cc9988bf7925,147d1dd3-39d6-43cc-a1d8-e895c2af6678,ad_4167,mobile_app_install,popup,mobile,chrome,iOS,Argentina,1063,81,8,http://martin.org/,http://peck.com/,1.52,True,26.65
37,1750147059.0,6ac75b48-2bf3-4f2e-b0c2-d12923a56103,b9c54fa2-0114-4d9f-a967-9116e1990331,ad_7430,travel_deals,popup,tablet,edge,iOS,Iran,1314,87,108,https://www.page.com/,http://www.miller.info/,1.56,False,0.0
38,1749459323.0,ae2abc42-8ab7-49d6-81b0-af0c376682ea,2d20a2d9-cce6-40f3-aade-5b9957a30b32,ad_8506,travel_deals,video,desktop,safari,Linux,Ecuador,980,777,205,http://pollard.info/,https://brown.com/,2.44,False,0.0
39,1749990020.0,67922fcf-b32d-43f3-b7b5-82ef180725b1,bd1fa6f8-5b0b-4e67-9163-cea24714fe82,ad_1418,summer_sale_2025,banner,mobile,opera,iOS,Denmark,326,483,120,https://www.nguyen.com/,http://braun.org/,0.76,False,0.0
40,1749980247.0,6db714e2-767f-44b7-8e89-5acd748b7124,0ff22924-7546-4622-b229-4172899bd916,ad_3160,tech_gadgets_promo,video,desktop,chrome,Android,Bosnia and Herzegovina,498,43,141,https://scott-malone.org/,https://chung-becker.com/,0.82,False,0.0
41,1750970567.0,9446c246-eb00-4571-b258-2bc7691e0069,bf575a8d-abf4-423c-95aa-62a4569c6906,ad_4592,travel_deals,interstitial,mobile,opera,macOS,Qatar,1273,341,192,http://sawyer.com/,http://www.jones.com/,0.3,True,328.29
42,1751336084.0,fa47a804-1eda-4f55-8bbd-cbe331ef16be,afbc2451-79fc-4399-840c-a251c29050f2,ad_9810,back_to_school,banner,desktop,chrome,iOS,Switzerland,1071,655,112,http://johns.com/,http://www.patterson.com/,3.84,False,0.0
43,1750517396.0,8bb8342c-0926-4fd4-b176-335766e09e18,2ef9858c-922e-4e11-b966-f7998c19189e,ad_9791,food_delivery,banner,tablet,chrome,macOS,Gambia,1866,591,220,https://valdez.com/,https://bush-thompson.org/,1.71,False,0.0
44,1749273440.0,a63056eb-d9a2-4510-a1b9-ea234d6d47b1,bd6afdd6-6cbc-48f2-a168-1788453281e3,ad_5309,streaming_service,interstitial,mobile,safari,Windows,Cayman Islands,1866,727,197,http://le.com/,https://lamb-young.biz/,3.77,False,0.0
45,1750281167.0,99bce0d5-2c29-4d8e-a39f-b986f7f82418,0e6643dc-5413-456c-9df5-3c68b58838e9,ad_5645,summer_sale_2025,native,tablet,firefox,Android,Equatorial Guinea,638,424,151,https://sweeney.com/,https://cuevas.biz/,0.21,False,0.0
46,1750848932.0,1db9d0e8-555d-4e02-9351-07c1e521347e,43dec3a2-d3af-4867-a9f4-51e953e27453,ad_7153,fashion_week_special,video,mobile,opera,Windows,Vanuatu,1694,906,86,http://www.david-franklin.org/,https://www.munoz.com/,4.08,False,0.0
47,1749717450.0,f86db77b-4f51-4761-802b-caebf53189d0,9e8a65dd-0dac-434d-a0ef-c6d97dacba22,ad_6332,holiday_deals,interstitial,mobile,safari,Windows,French Polynesia,750,765,156,https://joseph.com/,,3.0,False,0.0
48,1749489390.0,3c6930d3-8041-4a85-8816-898390d436d8,fc9c333c-3baf-4c04-bfd4-c9be3702c518,ad_9879,food_delivery,native,desktop,edge,Android,Austria,717,690,289,http://hernandez-nguyen.com/,,4.9,True,192.56
49,1751418288.0,ed9b4dd9-1e3d-4f4a-840d-965bd6c10310,5766054f-e6e8-4ce2-a32f-1e43084bb449,ad_8337,streaming_service,popup,mobile,chrome,Android,Lebanon,696,571,180,https://jones-wagner.biz/,,2.88,False,0.0
50,1749396408.0,3bad3c13-cf7a-4c8f-9632-1d052735aae4,00544c3d-33e4-48f6-9c4f-54591d520f66,ad_3442,food_delivery,interstitial,mobile,firefox,iOS,Panama,1906,549,153,https://perkins.biz/,,3.2,True,40.59
51,1749776656.0,6959d13c-6cf6-4269-9a54-f120b809bef6,48f2a3dd-3787-4ac0-bf5b-b68cd1b88778,ad_2314,fashion_week_special,banner,mobile,chrome,Android,Kenya,1285,133,88,https://www.silva.org/,http://jimenez.info/,3.86,True,239.09
52,1750333625.0,ffe16d66-152b-4c57-ae51-6dc499a4e054,710fbc9d-b513-441f-a41a-a650b25924da,ad_1030,fitness_challenge,interstitial,desktop,edge,macOS,Sweden,1235,830,73,https://www.james.info/,http://www.ramos-wright.com/,0.93,False,0.0
53,1750717099.0,23fede04-02cc-425d-83d3-6305cf8d92a9,ba2b1d43-54e9-4082-8694-c12b55b3592b,ad_6270,streaming_service,native,desktop,edge,Windows,Western Sahara,1845,68,120,https://www.lee.com/,http://www.martinez.biz/,3.67,True,361.25
54,1750706018.0,9519cbab-e36a-4ef4-9828-02a1224b7036,7ae3c00d-ffae-4607-99e7-04cd1420678c,ad_8235,back_to_school,popup,tablet,chrome,Linux,Kiribati,333,457,134,http://www.johnson-richardson.com/,,1.51,False,0.0
55,1751224439.0,82fa8523-6964-43b7-8355-b0a4eb93c4bc,69c69309-6da8-4a5b-92c4-04569d62cef2,ad_8240,holiday_deals,interstitial,desktop,chrome,Android,American Samoa,1045,410,67,https://walker.com/,https://www.rodriguez.com/,4.82,False,0.0
56,1749376438.0,eaf0d594-838e-4ea0-ab36-c1007fc6ea74,94dda1a6-f562-4e23-8abc-064822fd0de5,ad_3453,back_to_school,native,mobile,firefox,macOS,Bosnia and Herzegovina,529,864,91,https://miller.com/,http://sweeney.com/,0.3,False,0.0
57,1751251885.0,893bf539-349f-4d27-8a66-f745bcceaa2c,c1e21301-6771-4124-9514-596d6d7b6eef,ad_2645,fitness_challenge,interstitial,desktop,chrome,Windows,Burundi,1266,476,189,http://baker.com/,,2.88,False,0.0
58,1749647571.0,e1b2966b-8e3c-4d45-b3a0-9accb9c2b158,11f6b8cb-ab27-44a8-8cdc-55ed88e1f9de,ad_3138,fitness_challenge,video,tablet,chrome,Windows,Mali,1774,741,83,https://bentley-chase.com/,https://foster-combs.com/,4.36,False,0.0
59,1749134705.0,15f8e3e2-5cee-42db-a22c-26ae100bc50c,b0c2d0a6-e83f-4225-be85-a875ff163106,ad_1371,fitness_challenge,popup,tablet,safari,Windows,Uruguay,1909,64,111,http://smith.org/,https://www.johnson.com/,1.75,False,0.0
60,1751429566.0,414fb0f0-9d13-42a8-b883-d00e42c4f272,add0ff63-f0d2-445e-affa-81631ec9689d,ad_4670,tech_gadgets_promo,banner,mobile,firefox,Windows,Switzerland,957,625,147,https://garner.info/,,4.95,False,0.0
61,1749377816.0,b6c8c366-6e05-4504-a684-d1459e0d4305,7a80aa36-9883-481e-9ed5-912285938411,ad_2476,streaming_service,popup,tablet,opera,Linux,Tonga,1358,468,150,https://mosley.com/,https://www.livingston-williams.org/,1.03,False,0.0
62,1751516734.0,a96acef7-83eb-4d66-99b3-80502b83f3b4,bd93f35a-2d59-4257-8cab-40b27f1e5a86,ad_9374,tech_gadgets_promo,popup,desktop,chrome,macOS,Guadeloupe,122,910,43,https://myers.com/,https://fields-mccoy.com/,4.06,False,0.0
63,1751306502.0,e4fe213e-573b-4836-be59-acd85a701beb,a34c4979-7c7a-4bd1-af89-a415529065c4,ad_4123,mobile_app_install,banner,desktop,chrome,macOS,Barbados,1538,320,174,https://sanchez.com/,,4.66,False,0.0
64,1750303123.0,67b57ac9-1c10-4fde-a621-979b720285dd,b709cfed-1d04-45d3-aee6-d751b57ce862,ad_3775,streaming_service,native,mobile,chrome,Linux,Israel,1593,747,52,https://baker.net/,,1.0,False,0.0
65,1749622884.0,0b31e68d-846e-4de9-acc2-38b1c60f8878,ecc6b9e2-c2aa-4c6f-9925-dcd372bda2d1,ad_4831,fashion_week_special,native,mobile,safari,macOS,Norway,203,953,98,http://phillips.com/,https://www.williams-hudson.com/,4.22,False,0.0
66,1749618358.0,6db692b9-1081-4d14-8519-297a1c62fb47,88c0a80c-117a-426e-9d73-d01dbb735dc1,ad_9771,tech_gadgets_promo,native,tablet,edge,iOS,Bahamas,1538,84,50,http://lawson.com/,https://www.ortiz.biz/,0.68,False,0.0
67,1750805102.0,f084671e-4030-409f-a1a5-9c8a25580846,14d981aa-7bd1-4c96-b0b0-d84f3771fb8f,ad_6826,food_delivery,interstitial,tablet,chrome,Windows,Bermuda,1116,74,298,https://dillon-rich.biz/,https://turner.com/,1.75,False,0.0
68,1749745154.0,f8cb554d-502d-4724-ac20-ffa9856499a4,6d331b18-cd72-403d-99fe-4b69496b3729,ad_2475,summer_sale_2025,popup,mobile,edge,Android,Estonia,692,49,14,http://www.jimenez-calderon.com/,https://young-long.com/,3.29,False,0.0
69,1750527340.0,805227d2-0038-4d10-b4c4-a81eee9d3b2c,9ddb532d-c074-4a22-b953-7cac41a97820,ad_6853,summer_sale_2025,interstitial,tablet,safari,Android,Zimbabwe,1848,989,64,https://coffey.org/,http://www.morrison.com/,0.65,False,0.0
70,1749051589.0,342a9087-676b-4ec8-adf0-e57811516f7d,34c9717f-740f-43b6-893e-d45312a30da9,ad_3134,mobile_app_install,native,mobile,safari,Linux,Faroe Islands,938,686,217,http://flores.com/,http://johnson.com/,0.68,False,0.0
71,1749466624.0,54b66037-221a-4543-936e-67d595427e00,27725263-34b9-41d9-80fb-30275af1752b,ad_9351,holiday_deals,native,mobile,edge,iOS,Korea,1347,86,72,https://www.boone.info/,http://www.coleman.biz/,3.92,False,0.0
72,1751509322.0,f35f84f3-b4f5-47ea-bd47-09d825f82de4,9e9864be-0209-4d58-b4b2-468ad79902dc,ad_9231,tech_gadgets_promo,video,desktop,safari,iOS,Bangladesh,1004,806,47,http://www.lozano.org/,https://finley.info/,2.82,False,0.0
73,1749384726.0,fb7a3e5a-081a-4c94-a74b-e1baa2e93ea1,69603a37-c6ee-4acf-9ca4-5b6f87c8467a,ad_2295,mobile_app_install,popup,desktop,safari,Android,Azerbaijan,669,272,159,https://www.watson.com/,,4.39,False,0.0
74,1750642428.0,f2c37217-0a85-48d7-9568-2d7f75dd7c4e,681df698-4667-4b9d-8372-9adc81af714a,ad_4375,fashion_week_special,native,mobile,opera,Windows,Puerto Rico,497,855,52,http://watts-hernandez.com/,https://www.cook.org/,2.42,False,0.0
75,1749426906.0,ca4721b8-c155-4030-bbea-d3a8a3660a3c,06730246-cd6d-4534-aec6-7747e91fdecb,ad_7407,tech_gadgets_promo,video,mobile,safari,macOS,Portugal,1415,129,133,https://www.richardson-welch.com/,http://moore-tanner.biz/,1.3,False,0.0
76,1750611629.0,312a0943-346d-4cf2-baf4-747d777d0c44,1e98053f-047e-404e-afbe-d3c3f5bacd29,ad_1553,tech_gadgets_promo,interstitial,desktop,firefox,Android,Pakistan,1210,219,238,http://perry.com/,https://www.nelson-santana.net/,2.01,False,0.0
77,1749146727.0,2f5770ef-77a3-4abd-b912-696184984f8c,ec884db6-2461-42ca-92cb-8f415ee20581,ad_9654,fitness_challenge,video,tablet,firefox,Linux,Georgia,74,906,197,https://smith.com/,,3.89,False,0.0
78,1751410770.0,5d8b0cd4-d5dd-4a2f-bf49-76ba35932a6f,13fcbf7b-bc70-422f-86df-01a8355f4198,ad_3694,mobile_app_install,banner,desktop,edge,macOS,Palau,832,168,185,https://jimenez.com/,,1.6,False,0.0
79,1750256321.0,c9fef624-4207-4d85-b46f-88ef4bbcc17d,e42bd327-b334-4953-8b3c-2c90c666fac6,ad_2610,fashion_week_special,video,desktop,firefox,Windows,Bouvet Island (Bouvetoya),531,581,266,https://www.price.com/,,1.65,False,0.0
80,1750522305.0,75c92746-0d87-4178-8467-993704b7f61f,47652075-8895-488b-a9a2-a17f36db79c4,ad_8501,food_delivery,video,tablet,safari,macOS,Ireland,1125,401,258,http://www.bryant.biz/,http://park.biz/,0.58,False,0.0
81,1751073366.0,f9f532b4-2b88-4bbe-bffd-04192a7e5456,92df7e9a-048d-40ac-85ed-875eef3e4a91,ad_2872,fashion_week_special,native,desktop,opera,iOS,South Africa,254,184,139,https://www.fox.com/,http://www.carpenter.com/,0.34,False,0.0
82,1751370042.0,7117b7dc-8c1c-45e4-92b8-f75f07ffb684,24300800-7917-4a40-ba03-d205c9c1a212,ad_3257,fashion_week_special,video,desktop,safari,macOS,Armenia,1092,359,131,http://greene.biz/,,3.84,False,0.0
83,1750789512.0,fd4bf648-6ad7-446f-8135-7652829536ad,b5ed636d-a795-41f4-88bd-d452570bf9ab,ad_4064,travel_deals,banner,tablet,firefox,Android,French Southern Territories,1415,702,248,https://bryan-bennett.com/,http://www.short.com/,4.15,False,0.0
84,1749936176.0,1548464c-17b3-4db7-be62-7d6dc8510924,d0395681-4621-41de-86d3-e9a9bd04b99f,ad_6220,mobile_app_install,popup,mobile,safari,iOS,Denmark,1488,150,81,https://www.james.biz/,http://hernandez-wolfe.biz/,2.78,False,0.0
85,1751594739.0,9e70b225-7c1c-47b0-8a01-ba5bbf74a15a,9eb05747-857d-47e8-a980-880ab6fff407,ad_9281,back_to_school,interstitial,tablet,chrome,macOS,United Kingdom,1068,809,195,https://washington.biz/,,3.9,True,260.76
86,1751006046.0,59b5e865-b008-4283-bea7-32077ca9e6c6,6d71601c-6ca4-45aa-9280-78a2d22c75bc,ad_7424,summer_sale_2025,banner,tablet,edge,Android,Aruba,1042,4,184,http://www.landry.com/,https://martinez.com/,0.4,False,0.0
87,1749945220.0,597f2a5e-a3a3-48e8-8bbc-641d0df52493,64f1b79b-efad-4624-8ab9-30ee940de2b6,ad_5269,fashion_week_special,video,mobile,firefox,Windows,Puerto Rico,1362,781,248,http://peterson.com/,http://www.torres.com/,4.8,False,0.0
88,1751179660.0,fd9b133c-6760-45aa-a2e1-0ec1913ff7af,d97fd850-f092-48ee-8c80-b25a0bab18b5,ad_4396,fashion_week_special,native,mobile,firefox,Linux,Tanzania,1637,800,29,https://fleming-pierce.info/,https://jones.com/,3.68,False,0.0
89,1751445090.0,dbaf5827-f47c-489d-926f-da5dd0d92aa8,31f24b82-14c2-4d54-bd3e-c1416228e377,ad_5453,holiday_deals,banner,tablet,safari,macOS,Benin,1665,787,119,http://hill-kelly.info/,https://www.dominguez-snow.com/,0.44,False,0.0
90,1750767946.0,3829a891-48ec-462d-90e7-4b3df076ff86,bff19e85-1432-464c-a2b3-811d87e25c62,ad_1435,food_delivery,video,desktop,safari,macOS,Bouvet Island (Bouvetoya),1228,322,17,https://king.biz/,,0.1,False,0.0
91,1750876809.0,ff2ee1de-fad4-413d-9443-03132b77f492,22bafb01-8beb-4894-a3e7-fad419c86464,ad_6168,mobile_app_install,interstitial,desktop,opera,Linux,Tuvalu,796,558,173,http://www.campbell.com/,https://www.bowman.com/,2.73,False,0.0
92,1751506286.0,ea008921-74e7-47e8-8577-ba07410bf439,09f15c7f-a574-4404-82aa-9f376257f02c,ad_8751,tech_gadgets_promo,native,desktop,edge,Android,Montenegro,367,830,283,https://www.smith.net/,https://cooper-maldonado.com/,3.53,False,0.0
93,1751323979.0,d51a67b5-86cd-4cb8-ae78-d067935e4550,4ee92b56-9257-4b79-bad0-41d34534b0ad,ad_7064,food_delivery,native,tablet,chrome,macOS,Turkmenistan,348,492,145,http://www.long-armstrong.net/,,3.73,False,0.0
94,1749204183.0,7d66400b-6179-48ad-9d17-676550754bd5,74fcc126-4324-463d-86c0-b7fec0921335,ad_1820,back_to_school,popup,desktop,safari,macOS,Isle of Man,996,56,41,https://saunders-fleming.biz/,http://thomas-marshall.com/,3.3,False,0.0
95,1749966021.0,f92bac15-7e58-4c08-b144-0190fd0aab73,45cdf483-2aca-415d-a367-fe657eed1ccb,ad_8879,fashion_week_special,banner,desktop,firefox,Android,Austria,468,1009,25,http://ball-clark.com/,https://www.olson.org/,0.24,False,0.0
96,1749258149.0,310b5f88-5009-41d1-a64a-cab9597f2fdd,7661ff0d-c2b5-4bd8-9ba4-844256b0e6d2,ad_3273,food_delivery,native,desktop,safari,macOS,United States Minor Outlying Islands,566,733,191,http://finley-hart.com/,http://phillips-ayala.net/,0.26,False,0.0
97,1749403906.0,53118d0e-8eb5-44d2-953f-98500a8a47b6,74cdf693-fc27-4fef-904a-eeca5e4df1a2,ad_9907,holiday_deals,video,desktop,firefox,macOS,Holy See (Vatican City State),459,923,290,https://www.guzman.net/,https://patrick.com/,0.29,False,0.0
98,1751524722.0,52f3a748-eebd-4967-99d7-6b596e64d798,f0750c82-37c2-4f69-9f7a-d15998ca6bd6,ad_5973,travel_deals,banner,tablet,edge,Windows,Anguilla,1044,971,107,http://www.leon-cox.net/,http://www.olson.com/,2.84,False,0.0
99,1751625089.0,e7940a5e-0eb5-4edd-91ed-ce0d6cfdb2bd,3e5d67d4-0568-402c-b060-0f30b61ae4f8,ad_9509,holiday_deals,popup,desktop,edge,macOS,Northern Mariana Islands,1222,606,188,http://www.farmer.com/,http://johnson.com/,4.98,False,0.0
100,1751038922.0,ef963fcf-689b-4cf8-a249-01619c5ce305,12c1171d-898b-4970-a3af-71eabb997e42,ad_2593,food_delivery,popup,desktop,opera,Linux,Congo,1875,77,14,https://mills.com/,,2.86,False,0.0
101,1750245587.0,5a38491c-d964-4c78-85b1-995c1f504a07,7cbe1988-6429-4923-b31a-80623082035c,ad_8107,food_delivery,video,desktop,edge,Windows,Tunisia,132,885,219,http://www.fisher-martinez.com/,http://www.frank.com/,2.65,False,0.0
102,1750549721.0,46aee31c-2867-4832-980b-f58915c38488,9dcbe49d-320f-41f1-9483-56522ac491a7,ad_2082,holiday_deals,popup,tablet,edge,macOS,Guernsey,638,951,38,http://www.gonzales-garcia.net/,http://www.herrera.com/,4.52,False,0.0
103,1749391962.0,44259192-bf20-498a-accd-c7a226073439,93fe0786-2bc4-4db6-a3b0-f58f5623076a,ad_9836,holiday_deals,banner,tablet,firefox,iOS,Luxembourg,1727,357,103,http://www.stafford.org/,,0.6,False,0.0
104,1751585156.0,7169da95-6741-465e-a5af-cd17d270e54b,70bb43a2-9890-4c92-89c6-cef01ac8548d,ad_9775,fitness_challenge,native,tablet,firefox,macOS,Kuwait,1118,900,237,https://mcdonald-vega.info/,,0.92,False,0.0
